file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,18
style.css,2,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,5
style.css,3,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,32
style.css,4,css,68999a2c,smacoh,2025-01-24,18:47:02,-08:00,2025-01-24T18:47:02-08:00,0,24
style.css,5,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,33
style.css,6,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,7,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,8,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,5
style.css,9,css,1fa7e5f2,smacoh,2025-02-12,23:25:30,-08:00,2025-02-12T23:25:30-08:00,0,24
style.css,10,css,1fa7e5f2,smacoh,2025-02-12,23:25:30,-08:00,2025-02-12T23:25:30-08:00,0,16
style.css,11,css,1fa7e5f2,smacoh,2025-02-12,23:25:30,-08:00,2025-02-12T23:25:30-08:00,0,43
style.css,12,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,13,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,14,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,15
style.css,15,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,4
style.css,16,css,68999a2c,smacoh,2025-01-24,18:47:02,-08:00,2025-01-24T18:47:02-08:00,0,40
style.css,17,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,13
style.css,18,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,20
style.css,19,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,44
style.css,20,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,21,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,22,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,6
style.css,23,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,7
style.css,24,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,21
style.css,25,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,14
style.css,26,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,18
style.css,27,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,14
style.css,28,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,29,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,30,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,10
style.css,31,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,44
style.css,32,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,17
style.css,33,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,17
style.css,34,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,35,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,36,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,8
style.css,37,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,46
style.css,38,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,17
style.css,39,css,68999a2c,smacoh,2025-01-24,18:47:02,-08:00,2025-01-24T18:47:02-08:00,0,70
style.css,40,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,41,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,42,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,3
style.css,43,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,17
style.css,44,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,0
style.css,45,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,0
style.css,46,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,3
style.css,47,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,17
style.css,48,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,0
style.css,49,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,0
style.css,50,css,d61fbce5,smacoh,2025-03-08,19:05:50,-08:00,2025-03-08T19:05:50-08:00,0,10
style.css,51,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,5
style.css,52,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,13
style.css,53,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,31
style.css,54,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,8
style.css,55,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,56,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,57,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,6
style.css,58,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,13
style.css,59,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,30
style.css,60,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,19
style.css,61,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,62,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,63,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,7
style.css,64,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,19
style.css,65,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,14
style.css,66,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,67,css,8dd68df5,smacoh,2025-01-16,23:59:31,-08:00,2025-01-16T23:59:31-08:00,0,0
style.css,68,css,1fa7e5f2,smacoh,2025-02-12,23:25:30,-08:00,2025-02-12T23:25:30-08:00,0,5
style.css,69,css,1fa7e5f2,smacoh,2025-02-12,23:25:30,-08:00,2025-02-12T23:25:30-08:00,0,8
style.css,70,css,1fa7e5f2,smacoh,2025-02-12,23:25:30,-08:00,2025-02-12T23:25:30-08:00,0,7
